timestamp,Robot state,Time difference,distance,latitude,longitude,RTK precision,yaw,yaw precision,Speed,heading,delta,Xr,Yr,Curvature,Omega
2025-07-30 21:37:04.866941,manual,0.0,5783.517511394849,38.941233051666664,-92.31895437666667,1,81.42,1.0,,130.66524621462702,49.24524621462702,,,,
2025-07-30 21:37:05.296135,manual,0.0,5783.518412070752,38.941232991666666,-92.31895445666666,1,81.42,1.0,,130.6651513637724,49.24515136377239,,,,
2025-07-30 21:37:05.655257,manual,0.0,5783.52075050889,38.94123295,-92.31895453833333,1,81.42,1.0,,130.6650709003636,49.24507090036359,,,,
2025-07-30 21:37:06.072855,manual,0.0,5783.524378161243,38.941232905,-92.31895464333333,1,81.42,1.0,,130.66497460964607,49.244974609646064,,,,
2025-07-30 21:37:06.467580,manual,0.0,5783.526918955985,38.941232845,-92.31895474833334,1,81.42,1.0,,130.6648657852886,49.24486578528861,,,,
2025-07-30 21:37:06.878801,manual,0.0,5783.53056949333,38.941232803333335,-92.31895485,1,81.42,1.0,,130.66477414323072,49.244774143230714,,,,
2025-07-30 21:37:07.272333,manual,0.0,5783.531217296739,38.94123273833333,-92.31895493166667,1,81.42,1.0,,130.66467418316006,49.24467418316006,,,,
2025-07-30 21:37:07.649454,manual,0.0,5783.531635016422,38.94123267166667,-92.31895501166667,1,81.42,1.0,,130.6645737620347,49.244573762034705,,,,
2025-07-30 21:37:08.075037,manual,0.0,5783.529918195233,38.941232596666666,-92.31895506833334,1,81.42,1.0,,130.66447941964634,49.24447941964634,,,,
2025-07-30 21:37:08.464257,manual,0.0,5783.5326777614455,38.94123253666667,-92.31895517666666,1,81.42,1.0,,130.6643687324976,49.24436873249759,,,,
2025-07-30 21:37:08.876805,manual,0.0,5783.536374073275,38.94123250166667,-92.31895527166667,1,81.42,1.0,,130.66428638768528,49.24428638768528,,,,
2025-07-30 21:37:09.284645,manual,0.0,5783.539045543102,38.94123247666667,-92.31895534,1,81.417,1.0,,130.6642273038634,49.24722730386341,,,,
2025-07-30 21:37:09.654950,manual,0.0,5783.54152771918,38.94123244,-92.31895541833333,1,81.41342999999999,1.0,,130.66415288219204,49.25072288219205,,,,
2025-07-30 21:37:10.075856,manual,0.0,5783.542779441735,38.941232383333336,-92.3189555,1,81.41678069999999,1.0,,130.664059885644,49.24727918564402,,,,
2025-07-30 21:37:10.479042,manual,0.0,5783.549858785336,38.941232363333334,-92.31895563,1,81.41332254299999,1.0,,130.66397051237027,49.25064796937028,,,,
2025-07-30 21:37:10.847037,manual,0.0,5783.55449185862,38.94123235333333,-92.31895571166666,1,81.41972804606999,1.0,,130.66391651028027,49.24418846421028,,,,
2025-07-30 21:37:11.287470,manual,0.0,5783.558682702979,38.941232326666665,-92.318955805,1,81.4219667425743,1.0,,130.6638420608878,49.24187531831349,,,,
2025-07-30 21:37:11.654663,manual,0.0,5783.560025845956,38.941232283333335,-92.31895587333334,1,81.4209637038614,1.0,,130.66376765830694,49.242803954445534,,,,
