distance,latitude,longitude,yaw,yaw precision,heading,delta,precision
165.57185459093503,38.94252188885081,-92.31950949722152,-154.27964046000002,3.0,149.5272127928888,-56.1931467471112,1
165.2182225790331,38.94251788954713,-92.31951016786819,123.62948199578128,3.0,149.43166842285518,25.802186427073906,1
164.78935103762504,38.942517789133404,-92.31950060119192,79.00638919302195,3.0,149.677391447241,70.67100225421906,2
164.432354491549,38.94251768660867,-92.31949262626236,78.67231233531842,3.0,149.88284063447117,71.21052829915274,2
164.3527814421493,38.94251758083901,-92.31949102611601,83.8940759077565,3.0,149.92251566040306,66.02843975264656,2
164.25591758592026,38.94251752216662,-92.31948891990808,91.12477662545234,2.0,149.9763601562376,58.85158353078526,2
164.16531874016684,38.942517967240356,-92.31948583145038,91.12477662545234,2.0,150.0657188316444,58.94094220619206,2
164.12915399694634,38.94251893082872,-92.31948283647223,91.12477662545234,2.0,150.16274431458913,59.03796768913679,2
164.17813134578847,38.942520286571735,-92.3194809322996,91.12477662545234,2.0,150.23877442604146,59.11399780058912,2
164.35781756130478,38.94252226887408,-92.31948065944158,23.701343637816628,3.0,150.28405826586732,126.5827146280507,2
164.53399549068425,38.94252406898676,-92.31948071331928,-103.60794443235451,3.0,150.31720081614844,-106.07485475149704,2
164.59859724718206,38.94252500775115,-92.31948010353084,-120.92674210452208,3.0,150.3511434628673,-88.72211443261062,2
164.55851333334348,38.94252521879327,-92.3194786889237,-129.35832131185492,3.0,150.39220608027915,-80.24947260786593,2
164.40606261762383,38.942524437714134,-92.31947688767154,-145.36892579401845,3.0,150.42445413829103,-64.20662006769055,2
164.17576266789897,38.942522750670065,-92.31947531449462,-166.8346099507405,3.0,150.4334379130563,-42.73195213620318,2
163.99829591384048,38.94252113482126,-92.31947481777725,-61.93315213609468,3.0,150.41551814835964,-147.65132971554567,2
163.89065861571282,38.942520135096224,-92.3194745608702,-5.239398385659385,3.0,150.40308639426098,155.64248477992038,2
163.82332014711065,38.9425194979735,-92.31947442650657,-140.53504093067446,3.0,150.39438292249258,-69.07057614683299,2
163.78287033257638,38.94251910962116,-92.31947435850385,-52.72817005603048,2.0,150.38870873041458,-156.88312121355494,2
163.78554005350514,38.94251924987587,-92.31947410363776,-52.72817005603048,2.0,150.39810836466643,-156.8737215793031,2
163.83988561551323,38.94252002735859,-92.31947361577535,-52.72817005603048,2.0,150.42587198899776,-156.84595795497177,2
164.17596161403617,38.94252324803418,-92.31947419106457,-52.72817005603048,2.0,150.47245463265403,-156.7993753113155,2
164.70939235728412,38.94252657164686,-92.31947915900581,-52.72817005603048,2.0,150.40576366591972,-156.8660662780498,2
165.0567340311152,38.94252550308948,-92.31948965934785,-52.72817005603048,2.0,150.11127683306722,-157.1605531109023,2
165.29283857110178,38.942524614015944,-92.31949710073724,-52.72817005603048,2.0,149.9007851662128,-157.3710447777567,2
