distance,latitude,longitude,yaw,heading,delta,precision
165.81369935136004,38.942525325,-92.319507495,35.39,149.64573820426858,185.03573820426857,2
165.81380779452653,38.94252532916688,-92.319507488333,35.39,149.64599104119907,185.03599104119905,2
165.8147439847806,38.94252533507759,-92.31950749677709,35.37,149.645888048629,185.015888048629,2
165.79126551298083,38.94252522711596,-92.31950719657631,47.26,149.65153423110405,196.91153423110404,2
165.71800799273404,38.942524896573396,-92.31950624576592,82.11,149.66964894663914,231.77964894663916,2
165.67611584505815,38.94252448364287,-92.31950619397091,75.29,149.6629674014937,224.9529674014937,2
165.7382631957033,38.94252404797973,-92.31950857101218,66.18,149.5931702931461,215.7731702931461,2
165.86012665804884,38.942523829727904,-92.31951182865971,49.78,149.50498670093629,199.2849867009363,2
166.05826046493783,38.942524114251746,-92.3195157169067,27.84,149.4105470510218,177.2505470510218,2
166.31858267403476,38.94252496729487,-92.31951977217463,29.45,149.32316628436638,178.77316628436637,2
166.4872389739149,38.942525402192125,-92.31952264945586,61.3,149.25800201271107,210.55800201271109,2
166.61304159376414,38.94252572052399,-92.31952480557163,81.34,149.20910908889175,230.54910908889175,2
166.7623637305783,38.942525789209284,-92.31952802644918,74.82,149.12823497540182,223.94823497540182,2
166.96141734378685,38.94252552684286,-92.31953306601723,69.81,148.9947173779703,218.8047173779703,2
167.20028974093387,38.94252515983356,-92.31953919791061,66.24,148.83174756536437,215.07174756536438,2
167.49978385966423,38.94252490077964,-92.3195464194768,60.9,148.64384293156604,209.54384293156605,2
167.85712110639795,38.94252492161715,-92.31955429352855,51.97,148.44575249197243,200.41575249197243,2
168.28935600751282,38.9425253388838,-92.31956294568548,40.61,148.23692102548853,188.84692102548854,2
168.76586981842888,38.94252618017464,-92.31957164273572,27.18,148.03651962221056,175.21651962221057,2
169.29313204427015,38.94252761807274,-92.31958017752359,5.8,147.85322162740385,153.65322162740387,2
169.79451620770448,38.942529136175686,-92.319587952391,12.45,147.6914131151405,160.1414131151405,2
170.19561875635907,38.94253013757631,-92.31959458223504,42.77,147.54830149544858,190.3183014954486,2
170.53274498984382,38.94253097612391,-92.31960014334516,80.75,147.42875062070948,228.17875062070948,2
170.82802736753672,38.94253157512416,-92.31960527271092,89.68,147.31538701510732,236.99538701510733,2
171.11994887599818,38.94253161740409,-92.31961142616413,86.79,147.16625924095797,233.956259240958,2
171.41959575708586,38.94253106413697,-92.31961889796946,86.36,146.97362242926874,233.33362242926876,2
171.72080305807364,38.942530069790955,-92.31962722748683,82.8,146.75198871630357,229.55198871630358,2
172.0403052977859,38.94252860334385,-92.31963680418322,79.08,146.49152647373796,225.57152647373795,2
172.38002066928493,38.94252681504515,-92.31964734609126,80.14,146.20235778319426,226.34235778319425,2
172.71385652824316,38.9425249880084,-92.31965775006324,79.68,145.91681068525156,225.59681068525157,2
173.06816121628313,38.9425232611325,-92.31966829746855,77.16,145.63106380392776,222.79106380392776,2
173.3810014957644,38.94252172398468,-92.31967756099559,77.69,145.38064050503073,223.07064050503072,2
173.66589319973886,38.942520334451984,-92.31968591982448,77.75,145.1553997709226,222.9053997709226,2
173.92535641833587,38.94251907924269,-92.31969346682513,77.77,144.95265829763025,222.72265829763023,2
174.16143372259418,38.942517944674805,-92.31970028211622,77.79,144.77007217364752,222.56007217364754,2
