timestamp,Robot state,Time difference,distance,latitude,longitude,RTK precision,yaw,yaw precision,Speed,heading,delta,Xr,Yr,Curvature,Omega
2025-07-30 22:02:47.065496,manual,0.0,5786.034052983662,38.94128104333333,-92.31893969833334,1,129.1,0.0,,130.71353055528215,1.6135305552821535,,,,
2025-07-30 22:02:47.484455,manual,0.0,5786.042059079294,38.941281063333335,-92.31893979833333,1,129.1,0.0,,130.7134913220704,1.6134913220704163,,,,
2025-07-30 22:02:47.883420,manual,0.0,5786.045009055153,38.941281063333335,-92.31893984333334,1,129.1,0.0,,130.7134661556624,1.613466155662394,,,,
2025-07-30 22:02:48.265507,manual,0.0,5786.056915934049,38.94128111,-92.31893997333333,1,129.1,0.0,,130.71343240133336,1.6134324013333696,,,,
2025-07-30 22:02:48.672238,manual,0.0,5786.060686497014,38.94128108666666,-92.31894005666666,1,129.09789999999998,0.0,,130.71336632284715,1.615466322847169,,,,
2025-07-30 22:02:49.061995,manual,0.0,5786.065903019462,38.941281098333334,-92.31894012333333,1,129.09387099999998,0.0,,130.7133387766161,1.6194677766161192,,,,
2025-07-30 22:02:49.463497,manual,0.0,5786.076445325359,38.94128112166667,-92.31894025833333,1,129.09189679,0.0,,130.713282752232,1.6213859622320115,,,,
2025-07-30 22:02:49.892395,manual,0.0,5786.081673475164,38.941281135,-92.31894032333334,1,129.09092942709998,0.0,,130.71325752923352,1.6223281021335367,,,,
2025-07-30 22:02:50.480550,auto,0.0,5786.025812217778,38.94128098284302,-92.31893963955201,1,129.02731879349528,0.0,0.4771279617493418,130.71351294307377,1.6861941495784833,2.372335435143433,0.2082423916093359,0.07343674694455554,0.2601524668038002
2025-07-30 22:02:51.273854,auto,0.0,5786.019518902471,38.94128112609907,-92.31893938505226,1,126.22507034616888,0.0,0.48213107913484704,130.7137748371337,4.488704490964835,2.3996614339959055,0.18035281713744133,0.062288331899801215,0.23959325257372505
2025-07-30 22:02:52.074444,auto,0.0,5785.938829334246,38.94128145309898,-92.318937792365,1,120.83490912873592,0.0,0.47398419377954726,130.71493849584567,9.880029367109756,2.3654194646832774,-0.040509671650071466,-0.01447588184148894,-0.11550312855120509
2025-07-30 22:02:52.865577,auto,0.0,5785.809820740329,38.94128184155102,-92.31893539453615,1,118.84475383115642,0.0,0.4524107794433278,130.71660379599,11.871849964833586,2.2326812727996384,-0.3377829890202112,-0.13249085671752844,-0.3494332175836668
2025-07-30 22:02:53.681952,auto,0.0,5785.628277072742,38.941282158151715,-92.3189322746939,1,121.98710056408666,0.0,0.42330165644416035,130.71861305906444,8.731512494977778,2.052863849329381,-0.4996648838361556,-0.22386845899723812,-0.45422150082515317
2025-07-30 22:02:54.491722,auto,0.0,5785.391467797466,38.941282146442006,-92.31892867494425,1,130.86573549348174,0.0,0.38761111264573905,130.7206168941892,-0.14511859929254456,1.8699994229354235,-0.4959878000962804,-0.2650284910478128,-0.4942168120872299
2025-07-30 22:02:55.264827,auto,0.0,5785.098998265921,38.9412815778486,-92.3189248422401,1,144.67186727426423,0.0,0.6,130.72228642598407,-13.949580848280164,6.681724131035249,-0.2908720866813743,-0.013005669617052549,-0.10948070660657808
2025-07-30 22:02:55.843377,auto,0.0,5784.7931634325005,38.94128065779269,-92.31892119454864,1,153.74306047507264,0.0,0.6,130.7235592615323,-23.019501213540337,6.347207547423658,0.9379534541370704,0.045568440907146714,0.20492895144421738
2025-07-30 22:02:56.482012,auto,0.0,5784.477850569897,38.941279520898696,-92.3189176422122,1,157.0527497429499,0.0,0.6,130.7245978837309,-26.32815185921902,5.9523475382507565,1.4765049079850288,0.07851555259918123,0.26899801723322314
2025-07-30 22:02:57.263345,auto,0.0,5784.127004860988,38.94127814398646,-92.31891381338632,1,156.14374316183182,0.0,0.6,130.72559098440018,-25.418152177431637,5.658440710740071,1.4085605448432754,0.08285164342440905,0.27632602950126756
2025-07-30 22:02:57.893897,auto,0.0,5783.785629715513,38.94127679737733,-92.31891009548713,1,153.05602390450835,0.0,0.6,130.72654742483428,-22.32947647967407,5.421574511757827,1.014774493090499,0.0667104869742482,0.24795238412942744
2025-07-30 22:02:58.701834,auto,0.0,5783.426180320826,38.941275477349244,-92.31890607236996,1,147.72619619924637,0.0,0.6,130.72769698818954,-16.99849921105684,5.18887096315513,0.40822911817364993,0.030137582417293425,0.16665772096058923
2025-07-30 22:02:59.490007,auto,0.0,5783.061760653039,38.94127430346534,-92.31890181159947,1,142.0350852963415,0.0,0.6,130.72910172086924,-11.305983575472254,4.886991290439215,-0.3131396627486649,-0.02611592957967515,-0.15514006800510505
2025-07-30 22:03:00.281262,auto,0.0,5782.6916797384565,38.94127320504226,-92.31889738085516,1,140.03704425664515,0.0,0.6,130.730664777586,-9.30637947905916,4.513491232554349,-0.9130317451653651,-0.0861138258795675,-0.281713510379977
2025-07-30 22:03:01.060191,auto,0.0,5782.3123062835,38.94127206859285,-92.31889285035369,1,141.5882161800293,0.0,0.6,130.73225213222435,-10.855964047804946,4.163338211768384,-1.183975233836421,-0.12639057440703438,-0.3412939398429496
2025-07-30 22:03:01.870468,auto,0.0,5781.925780157801,38.9412708065038,-92.31888834974892,1,146.66430814975004,0.0,0.6,130.73371805358443,-15.930590096165616,3.8765088979767857,-1.2208118672040305,-0.14781860143650477,-0.36909297349568004
2025-07-30 22:03:02.691896,auto,0.0,5781.523264040308,38.941269215362524,-92.31888396942969,1,155.70824769536426,0.0,0.6,130.73484206288896,-24.973405632475306,3.6639849248538634,-1.0313986348945534,-0.14237412378388475,-0.36223195949450426
2025-07-30 22:03:03.488028,auto,0.0,5781.112590372055,38.94126720970578,-92.31887992357535,1,167.08263895950995,0.0,0.6,130.73543279601182,-36.34720616349813,3.480917912981893,-0.6441218815468065,-0.10279894671210285,-0.30779783834503127
2025-07-30 22:03:04.262400,auto,0.0,5780.708317936439,38.94126484444186,-92.31887637357205,1,-58.278674836888115,0.0,0.6,130.7354456167551,-170.98587954635678,21.14536645766716,-14.359016862716302,-0.04395788610185066,-0.20127490611466092
2025-07-30 22:03:05.063330,auto,0.0,5780.314210856455,38.94126211779338,-92.31887337882607,1,-129.48883546905262,0.0,0.5965098895103492,130.7348456489555,-99.77631888199187,-24.968906751697588,3.6693001463129526,0.011522192318888253,0.10304781628490443
2025-07-30 22:03:05.895649,auto,0.0,5779.925247812442,38.941259094587664,-92.31887079091146,1,-152.63430056588504,0.0,0.5363788005699637,130.73377004636686,-76.63192938774807,2.222218994363906,1.4930180543215166,0.4166158861911379,0.6196395732308845
2025-07-30 22:03:06.661998,auto,0.0,5779.52991153537,38.94125595712502,-92.31886823221726,1,-167.00249509409855,0.0,0.47545593112576917,130.73258249257546,-62.26492241332596,2.337189051484824,0.4113501944574478,0.14608483974985745,0.3669220466440639
2025-07-30 22:03:07.283120,auto,0.0,5779.151404688624,38.941253055251096,-92.31886566945653,1,6.285894182724206,0.0,0.4220215929401328,130.7315938604402,124.445699677716,2.069747487481545,-0.3912846777885632,-0.17637518586027323,-0.4031716399857855
2025-07-30 22:03:08.066072,auto,0.0,5778.758456425026,38.941250074111935,-92.31886297407019,1,119.58614170467442,0.0,0.3822263044380627,130.73061316729655,11.144471462622136,2.594105454806238,-3.797059963592793,-0.3591101753172346,-0.5752876998271068
2025-07-30 22:03:08.853903,auto,0.0,5778.364416455209,38.941246867310575,-92.31886051181365,1,-70.0095233952967,0.0,0.36103267031127584,130.72931320154265,-159.26116340316065,0.8306298582362723,-4.17884756046171,-0.4604102521358723,-0.6513939578844894
2025-07-30 22:03:09.683215,auto,0.0,5778.0028190885605,38.941243452557245,-92.31885877470177,1,-120.05832652458678,0.0,0.6,130.72743307273913,-109.21424040267408,-23.54883004459414,3.04542211491823,0.010802778736416607,0.09977896012427442
2025-07-30 22:03:10.462271,auto,0.0,5777.6762642167405,38.94123987914407,-92.31885774775435,1,-133.39322599793326,0.0,0.6,130.72502228765015,-95.88175171441662,-18.694705215575702,14.414880494413548,0.051732917912151656,0.21835076630925518
2025-07-30 22:03:11.072626,auto,0.0,5777.381580191617,38.94123644388772,-92.31885705398123,1,-138.88152651729112,0.0,0.6,130.72254005169148,-90.3959334310174,-16.29936983696554,16.96113291374137,0.06130351005413828,0.23769163819094233
2025-07-30 22:03:11.697039,auto,0.0,5777.106771816645,38.94123311212238,-92.31885654873417,1,-142.55030359543085,0.0,0.6,130.720038451383,-86.72965795318612,-15.16741543080357,17.91070683766478,0.06503006206862397,0.24480952841432427
2025-07-30 22:03:12.463050,auto,0.0,5776.81988157706,38.9412295996087,-92.31885605901442,1,-147.22611413323278,0.0,0.6,130.71737682861271,-82.0565090381545,-14.173410795559896,18.662187214415013,0.06796595485897544,0.250274697079093
2025-07-30 22:03:13.265538,auto,0.0,5776.5139673546,38.94122596494891,-92.31885541404841,1,-153.49050714769885,0.0,0.6,130.71469979803223,-75.7947930542689,-12.756197541743466,19.61966288814049,0.07165014254134228,0.25696842484262733
2025-07-30 22:03:14.079434,auto,0.0,5776.183241956308,38.941222294777056,-92.31885442970795,1,-161.46849395166072,0.0,0.6,130.71218290840426,-67.81932313993502,-10.617142061734143,20.804874326640935,0.07626888482640831,0.26512148961564375
2025-07-30 22:03:14.889973,auto,0.0,5775.828120057554,38.94121869598566,-92.31885299410025,1,-170.27199342541962,0.0,0.6,130.70997821354567,-59.01802836103468,-7.891338472531173,21.910002501875145,0.08080079889174586,0.272884620780712
2025-07-30 22:03:15.654089,auto,0.0,5775.448988472338,38.94121524970806,-92.31885102343222,1,56.53513625508109,0.0,0.6,130.70820052993284,74.17306427485175,-20.185099970624833,-11.401608080032036,-0.04242972495371694,-0.19774537799237063
