timestamp,distance,latitude,longitude,yaw,yaw precision,heading,delta,precision
2025-07-17 22:48:30.716280,29.194605436639577,38.94128207569706,-92.31887152602052,12.72,3.0,99.54456795845812,86.82456795845812,1
2025-07-17 22:48:31.917630,23.68449523606374,38.941267098574656,-92.31881001561062,12.72,3.0,97.70522042426991,84.98522042426991,1
2025-07-17 22:48:33.083169,22.820384701764993,38.9412647414586,-92.31880033774839,12.72,3.0,97.33486553987109,84.61486553987109,1
2025-07-17 22:48:34.507692,22.500562115780607,38.941263872824806,-92.31879675222216,14.007900000000001,3.0,97.19174003025067,83.18384003025066,1
2025-07-17 22:48:35.696276,22.37668958984475,38.94126350108667,-92.31879536871843,16.0916097,3.0,97.1250890661638,81.03347936616379,1
2025-07-17 22:48:37.084504,22.233397909448357,38.941262899530585,-92.31879379504856,21.132246342279,3.0,96.99754832989427,75.86530198761527,1
2025-07-17 22:48:38.095409,22.166594523134513,38.94126249803859,-92.31879307983988,25.969410495401696,3.0,96.90249178961686,70.93308129421516,1
2025-07-17 22:48:39.496838,22.056460335556828,38.94126180157433,-92.31879190441028,39.41711262196216,3.0,96.73451375725386,57.3174011352917,1
2025-07-17 22:48:40.517926,21.991537360252845,38.941261329236525,-92.31879121969087,49.082369629333016,3.0,96.61671388749589,47.534344258162875,1
2025-07-17 22:48:41.927416,21.914316763462878,38.94126040917316,-92.31879045571041,61.730430763602,3.0,96.37091727247115,34.640486508869145,1
2025-07-17 22:48:43.090405,21.879152042231397,38.941259810366645,-92.31879013149428,69.84154775191548,3.0,96.2057754777101,26.36422772579462,1
2025-07-17 22:48:44.515991,21.854917541949987,38.94125878330677,-92.31878998986555,80.71346343066443,3.0,95.91159842972357,15.198134999059135,1
2025-07-17 22:48:45.711793,21.855715599208953,38.941258189943646,-92.31879007696215,87.12821795671789,3.0,95.73751715176401,8.60929919504612,1
2025-07-17 22:48:47.085058,21.878926144357553,38.941257228793404,-92.3187904676496,94.50329099198557,3.0,95.4501911106486,0.9469001186630379,1
2025-07-17 22:48:48.103725,21.905182595554404,38.94125668168894,-92.31879083865962,97.80511881025103,3.0,95.28381617991501,-2.5213026303360238,1
2025-07-17 22:48:49.506677,21.94915751061596,38.94125574787755,-92.31879145722003,104.35517241843888,3.0,95.0010566228894,-9.35411579554949,1
2025-07-17 22:48:50.712181,21.979893423921883,38.94125516619652,-92.31879187819912,109.03900413952452,3.0,94.82482073943711,-14.214183400087407,1
2025-07-17 22:48:52.090897,22.050439994270427,38.941254367900434,-92.31879278105374,114.12316192572989,3.0,94.577920857322,-19.54524106840789,1
2025-07-17 22:48:53.107398,22.100417490555728,38.941253992358696,-92.31879339887642,117.25401454052536,3.0,94.4589499430689,-22.79506459745646,1
2025-07-17 22:48:54.498664,22.1793029439531,38.94125324921931,-92.3187943861943,125.5832776238261,3.0,94.228978696281,-31.354298927545102,1
2025-07-17 22:48:55.520838,22.23174556803042,38.94125285627699,-92.318795030982,130.17427422497235,3.0,94.10608024946474,-36.06819397550761,1
2025-07-17 22:48:56.909586,22.32947177242506,38.941252326108476,-92.31879621164859,137.3604943689911,3.0,93.93644008284053,-43.42405428615058,1
2025-07-17 22:48:57.923499,22.393216367324513,38.941252051801385,-92.31879697439125,142.54272956856394,3.0,93.84699471539884,-48.695734853165106,1
2025-07-17 22:48:59.325569,22.507195102257462,38.94125174423148,-92.31879832138607,150.29544795858854,3.0,93.74023069618599,-56.55521726240255,1
2025-07-17 22:49:00.503441,22.58125144841148,38.941251695946065,-92.31879918352271,155.53238864979588,3.0,93.71429464335995,-61.81809400643593,1
2025-07-17 22:49:01.925313,22.693887781693864,38.94125156194681,-92.31880049968092,160.74570016037117,3.0,93.65813695676644,-67.08756320360473,1
2025-07-17 22:49:03.118866,22.718817958448295,38.94125026556075,-92.31880088965008,162.4610451550073,3.0,93.28990456096207,-69.17114059404523,1
2025-07-17 22:49:04.511523,22.71945428713398,38.94124629283016,-92.31880114076598,164.45784505920207,3.0,92.1744917940805,-72.28335326512158,1
2025-07-17 22:49:05.718036,22.711161857606655,38.941243080661735,-92.31880116915696,165.2290608553063,3.0,91.2737818427971,-73.9552790125092,1
2025-07-17 22:49:07.113585,22.702511474957248,38.94123680085427,-92.31880112450166,165.96294615795134,3.0,89.5118555862798,-76.45109057167154,1
2025-07-17 22:49:08.289267,22.706632754654617,38.9412326112744,-92.31880107099374,166.1207305321773,3.0,88.33620896888138,-77.78452156329593,1
2025-07-17 22:49:09.697551,22.737553012924444,38.941225243756456,-92.31880098279893,165.94044948054304,3.0,86.27171625114148,-79.66873322940155,1
2025-07-17 22:49:10.920928,22.770570614554714,38.94122063425914,-92.3188009125242,165.71731417182625,3.0,84.98364710746448,-80.73366706436177,1
2025-07-17 22:49:12.298843,22.85212591410638,38.94121291140403,-92.31880080130674,165.18263529285883,3.0,82.83620878868807,-82.34642650417076,1
2025-07-17 22:49:13.507303,22.916723417355954,38.94120820495766,-92.3188007247735,164.84235390545058,3.0,81.53582430557476,-83.30652959987582,1
2025-07-17 22:49:14.925133,23.048516608724295,38.941200401572274,-92.31880058478748,164.11755312088906,3.0,79.39740402734814,-84.72014909354091,1
2025-07-17 22:49:16.125391,23.14424607171496,38.94119567587565,-92.31880050541149,163.67324072046495,3.0,78.11552018094346,-85.55772053952148,1
2025-07-17 22:49:17.514237,23.32819923645928,38.94118770391866,-92.3188003299549,163.01938386788854,3.0,75.97685133801318,-87.04253252987536,1
