timestamp,Robot state,Time difference,target lat,target lon,distance,latitude,longitude,RTK precision,yaw,yaw precision,Speed,heading,delta,Xr,Yr,Curvature,Omega
2025-08-01 21:50:00.982609,auto,0.0,38.9425488,-92.31965974,5920.491014048401,38.942536926193014,-92.31959514596468,1,-89.08152360806008,1.0,0.6,131.37967644744276,-139.53879994449716,5.721598935152957,-1.7722869478700827,-0.09879603068671901,-0.18859101528762934
2025-08-01 21:50:01.780423,auto,0.0,38.9425488,-92.31965974,5920.875531544113,38.94253839911907,-92.31959940292263,1,-82.29458259756461,1.0,0.6,131.3785079070884,-146.326909495347,5.51509983573604,-0.9329569850399462,-0.05963914016633152,-0.14652675680529936
2025-08-01 21:50:02.584687,auto,0.0,38.9425488,-92.31965974,5921.281126912325,38.94254028192182,-92.31960352040642,1,-76.04686183096467,1.0,0.6,131.37774767808259,-152.57539049095274,5.198217742543846,-0.19021085533211946,-0.014059674089733139,-0.07114409794427033
2025-08-01 21:50:03.361737,auto,0.0,38.9425488,-92.31965974,5921.70989493524,38.94254254036656,-92.31960756949557,1,-70.84929360802087,1.0,0.6,131.37732868595194,-157.7733777060272,4.787908613145793,0.4765021387870626,0.04116449428068264,0.12173421023297333
2025-08-01 21:50:04.169170,auto,0.0,38.9425488,-92.31965974,5922.158891292358,38.942545117387716,-92.3196115694648,1,-69.30895770755116,1.0,0.6,131.37719412297236,-159.3138481694765,4.327070798808469,0.9296267090185815,0.09491920479965334,0.18485376308821846
2025-08-01 21:50:05.002347,auto,0.0,38.9425488,-92.31965974,5922.603311814617,38.94254771995595,-92.3196154699889,1,-70.66954249369005,1.0,0.6,131.37713526142355,-157.9533222448864,3.9006072881162765,1.1115981743992385,0.13514552890704293,0.2205728686999728
2025-08-01 21:50:05.764253,auto,0.0,38.9425488,-92.31965974,5923.0494577124655,38.94255025622267,-92.31961947219256,1,-73.5554830753357,1.0,0.6,131.37696660217614,-155.06755032248816,3.52239254958522,1.1480193998983281,0.16728639037421103,0.24540395378786375
2025-08-01 21:50:06.356942,auto,0.0,38.9425488,-92.31965974,5923.453817478977,38.94255247611859,-92.31962318882255,1,-76.89613069484015,1.0,0.6,131.37670072420084,-151.72716858095902,3.1832849634633638,1.1257171123997451,0.19748483800938982,0.2666355971797095
2025-08-01 21:50:07.160662,auto,0.0,38.9425488,-92.31965974,5923.871560091707,38.94255453265469,-92.31962729668336,1,-83.06109282833016,1.0,0.6,131.37608648335944,-145.5628206883104,2.8898323083601065,1.0637112963397217,0.22434983970756073,0.2841934944623502
2025-08-01 21:50:07.980865,auto,0.0,38.9425488,-92.31965974,5924.285617154064,38.942556347277566,-92.31963162171716,1,-90.04203484011725,1.0,0.5541032930547848,131.37515690618022,-138.58280825370252,2.607997082673788,0.9204478034312047,0.24067540679564361,0.2943520790591289
2025-08-01 21:50:08.791548,auto,0.0,38.9425488,-92.31965974,5924.684224358505,38.942557867888205,-92.31963604162982,1,-99.10720795016022,1.0,0.494374719707286,131.3739376989378,-129.518854350902,2.3442877302562355,0.7701102956814889,0.2529615059944192,0.3017716722258584
2025-08-01 21:50:09.586781,auto,0.0,38.9425488,-92.31965974,5925.05448584349,38.942558882106965,-92.31964059819133,1,-109.20947232690496,1.0,0.4370200153229456,131.37223442418804,-119.41829324890699,2.096325214773424,0.6027910012982904,0.2533833792461617,0.30202320528167736
2025-08-01 21:50:10.351240,auto,0.0,38.9425488,-92.31965974,5925.364390316262,38.94255934234321,-92.31964485200331,1,-120.6128190081284,1.0,0.38156224494128355,131.37025188275877,-108.01692910911282,1.8508540444939763,0.4487011868065399,0.24742321325265537,0.29844992338909376
2025-08-01 21:50:10.971970,auto,0.0,38.9425491,-92.32057431,5925.6208865434355,38.942559367966574,-92.31964877492513,1,-131.56405691978804,1.0,0.6,131.36810194569648,-97.06784113451545,66.6345380028691,-44.51621166220137,-0.013863973371031124,-0.07064722509462919
2025-08-01 21:50:11.777457,auto,0.0,38.9425491,-92.32057431,5925.8487421572,38.942558996989376,-92.31965270547522,1,-136.5373715234873,1.0,0.6,131.36562796457542,-92.09700051193727,58.57587598887617,-54.19342400478775,-0.01702038616085253,-0.07827732122337165
2025-08-01 21:50:12.572044,auto,0.0,38.9425491,-92.32057431,5926.069966146174,38.94255832040801,-92.31965687964376,1,-138.45264843255615,0.0,0.6,131.36277281718264,-90.18457875026121,54.45112858287838,-57.856730910708684,-0.01833134865073144,-0.08123598657161318
2025-08-01 21:50:13.364323,auto,0.0,38.9425491,-92.32057431,5926.299698289584,38.9425573874351,-92.31966147486597,1,-138.91146841236676,0.0,0.6,131.35947810073083,-89.72905348690244,52.94798539272857,-58.73981968457571,-0.018785153891741617,-0.0822353658776258
2025-08-01 21:50:13.987411,auto,0.0,38.9425491,-92.32057431,5926.511873959344,38.942556347042796,-92.31966592091483,1,-138.20667366544177,0.0,0.6,131.35617946599032,-90.43714686856788,52.61700096444803,-58.50132735689734,-0.018898969844707528,-0.08248411449542699
2025-08-01 21:50:14.779978,auto,0.0,38.9425491,-92.32057431,5926.738321561396,38.942555239849845,-92.31967066209253,1,-137.52473906724654,0.0,0.6,131.35266395202356,-91.1225969807299,52.75531820043541,-57.83885559061487,-0.018875504010776,-0.0824328905466705
2025-08-01 21:50:15.571433,auto,0.0,38.9425491,-92.32057431,5926.949955941092,38.942554125029,-92.31967518339478,1,-135.68130550006555,0.0,0.6,131.34926413361592,-92.96943036631853,53.67484456581854,-56.43324851936568,-0.018607331083242352,-0.08184521482632474
2025-08-01 21:50:16.180828,auto,0.0,38.9425491,-92.32057431,5927.1416960264505,38.94255304205113,-92.31967936194035,1,-133.76449778652247,0.0,0.6,131.34607976600086,-94.8894224474767,55.10735618335629,-54.499908333654396,-0.01814528300257752,-0.08082265697765638
2025-08-01 21:50:16.965057,auto,0.0,38.9425491,-92.32057431,5927.344564420994,38.94255183757133,-92.31968384903934,1,-131.29764274077718,0.0,0.6,131.3426269713885,-97.35973028783428,56.77621095764462,-52.21201736543363,-0.01755134084661956,-0.07948888415862336
2025-08-01 21:50:17.769746,auto,0.0,38.9425491,-92.32057431,5927.560481318079,38.94255070691964,-92.31968845325153,1,-128.9884414600866,0.0,0.6,131.33916925138627,-99.67238928852714,58.54498072419165,-49.61368885981201,-0.016849520043180428,-0.07788342067182819
2025-08-01 21:50:18.568349,auto,0.0,38.9425491,-92.32057431,5927.784824515431,38.94254969583225,-92.3196930516706,1,-126.8003654208097,0.0,0.6,131.33581147275544,-101.8638231064349,60.12429527981955,-47.04954426498039,-0.016144398642380167,-0.07623636606801808
