timestamp,Robot state,Time difference,target lat,target lon,distance,latitude,longitude,RTK precision,yaw,yaw precision,Speed,heading,delta,Xr,Yr,Curvature,Omega
2025-08-04 16:55:12.277249,manual,0.0,0,0,5914.1254493038,38.94253358333366,-92.3195008058333,2,-108.5,0.0,0.0,131.42928534986518,-120.07071465013482,0,0,0.0,0.0
2025-08-04 16:55:12.655724,manual,0.0,0,0,5914.126136470718,38.942533586257255,-92.3195008131132,2,-108.5,0.0,0.0,131.42928367062015,-120.07071632937985,0,0,0.0,0.0
2025-08-04 16:55:13.066807,manual,0.0,0,0,5914.12577878052,38.94253358555065,-92.3195008083988,2,-108.5,0.0,0.0,131.42928571656176,-120.07071428343824,0,0,0.0,0.0
2025-08-04 16:55:13.470596,manual,0.0,0,0,5914.126094187805,38.94253358732329,-92.31950081125152,2,-108.5,0.0,0.0,131.42928556494894,-120.07071443505106,0,0,0.0,0.0
2025-08-04 16:55:13.892672,manual,0.0,0,0,5914.126059682307,38.94253358618225,-92.3195008120141,2,-108.5,0.0,0.0,131.42928422007586,-120.07071577992414,0,0,0.0,0.0
2025-08-04 16:55:14.306108,manual,0.0,0,0,5914.126138211455,38.94253358465173,-92.3195008149618,2,-108.5,0.0,0.0,131.42928134779882,-120.07071865220118,0,0,0.0,0.0
2025-08-04 16:55:14.674655,manual,0.0,0,0,5914.126212070255,38.94253358304151,-92.3195008179279,2,-108.5,0.0,0.0,131.4292784009421,-120.07072159905789,0,0,0.0,0.0
2025-08-04 16:55:15.316114,auto,0.0,38.94254604052291,-92.31959069411597,5914.126578383282,38.942533583253294,-92.31950082333674,2,-108.494,0.0,0.6,131.42927556989494,-120.07672443010506,6.9195162892376265,-3.7734324801672683,-0.12149142622008939,-0.1129322095722921
2025-08-04 16:55:16.080635,auto,0.0,38.94254604052291,-92.31959069411597,5914.15209819404,38.94253362479121,-92.31950116976121,2,-107.701292,0.0,0.6,131.42911684215656,-120.86959115784344,6.933051123433942,-3.7402476438308745,-0.12054300787119043,-0.15766342918400916
2025-08-04 16:55:16.686857,auto,0.0,38.94254604052291,-92.31959069411597,5914.250680716635,38.94253374235488,-92.31950255665787,2,-105.46643315600001,0.0,0.6,131.4284420356593,-123.10512480834069,6.954939166203034,-3.577463836718232,-0.1169690171252949,-0.17387574818115353
2025-08-04 16:55:17.476146,auto,0.0,38.94254604052291,-92.31959069411597,5914.428633229304,38.942534009092,-92.3195049982699,2,-100.818236572508,0.0,0.6,131.4273023761751,-127.7544610513169,6.997774984932878,-3.1257082572299866,-0.10642718514532855,-0.17524940138698275
2025-08-04 16:55:18.270902,auto,0.0,38.94254604052291,-92.31959069411597,5914.677084779568,38.942534573367745,-92.3195081894294,2,-95.40217514437023,0.0,0.6,131.42598713228392,-133.17183772334585,7.018822301227811,-2.4256154313750953,-0.08796831970450976,-0.16619639072099934
2025-08-04 16:55:18.887343,auto,0.0,38.94254604052291,-92.31959069411597,5914.945480814234,38.94253533099846,-92.31951146873506,2,-90.87353607451898,0.0,0.6,131.4247792467096,-137.70168467877141,6.929591130024661,-1.7181301601978873,-0.0674157174756718,-0.1506036557399078
