timestamp,distance,latitude,longitude,yaw,yaw precision,heading,delta,precision
2025-07-17 19:16:05.228651,10208043.854242193,0.0,0.0,77.52,0.0,-51.0358202674189,-128.55582026741888,nan
2025-07-17 19:16:08.427421,10208043.854242193,0.0,0.0,77.52,0.0,-51.0358202674189,-128.55582026741888,nan
2025-07-17 19:16:11.637086,10208043.854242193,0.0,0.0,77.52,0.0,-51.0358202674189,-128.55582026741888,nan
2025-07-17 19:16:14.829579,10208043.854242193,0.0,0.0,84.2677545,0.0,-51.0358202674189,-135.3035747674189,nan
2025-07-17 19:16:18.033552,10208043.854242193,0.0,0.0,-160.89822602745912,0.0,-51.0358202674189,109.86240576004025,nan
2025-07-17 19:16:21.227082,10208043.854242193,0.0,0.0,-166.07774455308532,1.0,-51.0358202674189,115.04192428566643,nan
2025-07-17 19:16:24.423856,2113076.8320048116,30.246886431327106,-71.7070562469698,-115.60410201175944,3.0,-57.23148267707609,58.37261933468335,900
2025-07-17 19:16:27.668986,413491.48259745934,37.18474199418808,-88.15478005768803,-120.87319591293459,3.0,-60.54497030334028,60.32822560959431,1
2025-07-17 19:16:30.844365,82896.85810753015,38.586394668089056,-91.47767428499779,-122.14922944488904,3.0,-61.31456798816225,60.83466145672679,1
2025-07-17 19:16:34.051798,16697.940866714132,38.86956891534849,-92.14896179433104,-121.93724903277528,3.0,-61.44002242439575,60.49722660837955,1
2025-07-17 19:16:37.250381,3350.4340354649507,38.92676522741506,-92.28456450615707,-120.96735877328153,3.0,-61.28149252426596,59.68586624901559,1
2025-07-17 19:16:40.441944,657.1258958860483,38.938309689243184,-92.31193951261149,-119.93926789003339,3.0,-60.288427674089974,59.65084021594339,1
2025-07-17 19:16:43.668390,115.98688752206542,38.94063042660753,-92.31744902440632,-118.99361676268057,3.0,-54.33858176141166,64.65503500126891,1
2025-07-17 19:16:46.842822,16.737804866485714,38.941088027623486,-92.31854130535129,-118.11399930418516,3.0,0.7902969268627658,118.90429623104792,1
2025-07-17 19:16:50.036933,19.677870617139327,38.94117420864795,-92.3187505955538,-117.58109899680238,3.0,68.68334016322251,-173.7355608399751,1
2025-07-17 19:16:53.243033,22.68423984976976,38.94119042307527,-92.31879352264257,-126.95975995611956,3.0,76.3574596327503,-156.68278041113012,1
2025-07-17 19:16:56.451705,23.909512027158556,38.94119181236806,-92.31880848311926,-155.10477873167628,3.0,77.4485854991824,-127.44663576914132,1
2025-07-17 19:16:59.651538,23.88834823055393,38.941189365953726,-92.31880751218908,-154.39700839956896,3.0,76.76793780289302,-128.83505379753802,1
2025-07-17 19:17:02.841345,24.123631846819695,38.941171721986095,-92.31880400678382,-152.95639317390126,3.0,72.0618093709167,-134.98179745518203,1
2025-07-17 19:17:06.059214,24.655668411882175,38.94114947692835,-92.31879970939002,-152.00863176992448,3.0,66.31750268175011,-141.6738655483254,1
2025-07-17 19:17:09.240395,25.359766353592477,38.941128219670965,-92.3187952706559,-151.27102857998085,3.0,61.07118545508132,-147.65778596493783,1
2025-07-17 19:17:12.437538,25.629259268531985,38.9411219622743,-92.31879427539575,-151.13601005530072,3.0,59.61655543666393,-149.24743450803535,1
2025-07-17 19:17:15.649149,25.74763133713188,38.94112094197022,-92.31879509185063,-151.12365227280876,3.0,59.478239195984145,-149.3981085312071,1
